526|528738
8549|250415
8552|250415
8690|359080
1563|347347
1814|1064592
7722|171103
2000|277026
3542|266608
5631|987648
10104|384667
10305|331592
10325|603597
15051|332962
15111|662334
15236|181584
13637|236962
16017|629888
16236|400047
14703|430562
23742|648954
23291|1366640
19734|272303
19839|479480
20434|438690
20498|75413
20644|452907
21112|496878
21499|317235
30322|435086
30465|2289
25076|509107
28686|258305
28935|553218
32454|983013
32781|354043
33380|558595
34643|210769
35351|53126
35361|1067916
35545|27953
35733|443661
36170|501370
37213|531303
37893|51199
37896|614349
37941|162959
46775|643146
46775|675174
39642|223739
39927|95955
45537|150282
40602|282993
40635|328187
43804|565877
43807|73462
44875|304039
47627|434887
47630|434887
47708|230719
47780|475235
48122|580418
48360|432413
48649|140970
49656|142
51816|77841
54061|182907
55738|537058
56346|695201
56507|553146
56782|123888
57203|983013
57304|415036
61509|264590
58479|317235
62172|514958
59466|138071
59466|541994
60321|671794
60439|520934
64000|381300
64017|1022284
69111|474120
64895|164082
71129|344759
71285|231120
72139|1067916
72866|36391
73229|359680
73329|510015
75169|98488
75182|106265
75693|27964
79271|470806
79315|195040
79627|265092
79717|428552
79877|368806
87068|337
80357|558661
80514|400046
80841|18018
86234|178587
86625|37779
84020|1108308
84778|33225
94849|216207
87797|532751
88123|568579
93435|579731
93623|150146
89387|264398
90546|800735
90912|549711
91580|294565
92152|312919
102427|502642
97523|107285
97552|1486169
98455|484460
98999|36391
104025|800735
99642|449565
100040|587896
100294|1197733
100859|98953
103174|6068
101354|502704
101476|182907
101834|141234
105860|41948
106328|202649
106402|416559
106690|331592
106814|631789
107007|365689
108373|564304
108715|73198
109488|131350
119813|194158
112449|156160
112663|183066
113120|488726
113324|604472
113474|459485
118641|471066
115015|255003
115559|125728
115928|983013
116109|507800
116318|354043
117709|513375
126201|520567
123577|535106
127129|1067916
127290|462572
124542|159524
124631|45967
124631|345046
127796|573625
129045|664477
130359|287059
130728|800735
134259|46463
131300|614349
131855|633962
131922|631789
135033|444622
133076|574812
133140|42730
143735|285913
136021|179074
136336|395134
142649|326181
137106|252478
138002|150282
142733|328321
142855|51199
143211|126064
143390|165687
138587|524432
138798|626596
139427|444855
143526|295505
140222|196966
140365|1274607
141099|117344
144568|349643
149933|312934
150154|468643
150322|1067916
144773|223320
144941|244702
145017|54142
145040|431278
145774|1067916
151749|384760
151786|414203
151942|552417
147714|451332
147804|605516
150793|472295
157899|640200
153632|42569
153844|168619
153939|273625
154090|150358
154232|626596
159079|568705
155563|305637
156251|2407
156324|513375
158160|909099
157046|96477
160153|1022284
160299|532749
160691|532157
161711|589078
162751|92753
163165|407571
163488|321285
163784|130814
165001|357372
174804|159601
168031|1156099
168266|515708
168389|462572
173796|97371
174000|95955
169713|513375
170159|123888
170606|555486
170607|555486
171351|424620
172059|160718
172790|42730
173160|267904
173196|321449
175938|561828
176056|193603
182630|252627
176667|252478
178104|69386
179132|682237
179457|448833
179590|350035
183618|20423
181908|102207
182042|267904
182204|40861
190568|596739
190580|162541
185027|424620
185029|424620
185051|385281
185164|666195
185216|400046
185219|400046
185251|1581685
185853|163031
186385|262317
186496|478259
186707|319720
186916|314490
186973|1366640
187023|439724
190868|85750
190942|242308
191160|631789
187485|320537
187928|106661
188370|270592
188370|515804
188466|314490
188650|162541
191523|150958
189934|345633
190528|486290
